"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","545","Consulta de uso do cartão em cidade com integração TACOM e sem registros","","Mon Aug 04 14:55:33 BRT 2025","passed","Mon Aug 04 14:55:33 BRT 2025","","[CARTÕES] Detalhar extrato de cartão  de transporte  de um usuário","",""
"","578","Listar QR Codes com status ""UTILIZADO""","","Mon Aug 04 14:56:26 BRT 2025","passed","Mon Aug 04 14:56:27 BRT 2025","","[CARTÕES] Listar QR CODEs gerados de um usuário","",""
"","546","Resposta em formato JSON válido","","Mon Aug 04 14:57:15 BRT 2025","passed","Mon Aug 04 14:57:16 BRT 2025","","[Usuários] Consultar dados de usuário PF","",""
"","575","Status da conta retornado corretamente","","Mon Aug 04 14:56:57 BRT 2025","passed","Mon Aug 04 14:56:57 BRT 2025","","[Usuários] Consultar dados de usuário PF","",""
"","615","Token com formato Bearer incorreto","","Mon Aug 04 14:57:02 BRT 2025","passed","Mon Aug 04 14:57:03 BRT 2025","","[Usuários] Consultar dados de usuário PF","",""
"","494","Consulta de uso do cartão em cidade sem integração disponível","","Mon Aug 04 14:55:34 BRT 2025","passed","Mon Aug 04 14:55:34 BRT 2025","","[CARTÕES] Detalhar extrato de cartão  de transporte  de um usuário","",""
"","510","CPF com menos de 11 dígitos","","Mon Aug 04 14:57:09 BRT 2025","passed","Mon Aug 04 14:57:10 BRT 2025","","[Usuários] Consultar dados de usuário PF","",""
"","395","Consulta de uso do cartão em cidade com integração TACOM e com registros","","Mon Aug 04 14:55:32 BRT 2025","passed","Mon Aug 04 14:55:33 BRT 2025","","[CARTÕES] Detalhar extrato de cartão  de transporte  de um usuário","",""
"","1317","Listar todos os QR Codes sem filtros","","Mon Aug 04 14:56:23 BRT 2025","failed","Mon Aug 04 14:56:25 BRT 2025","","[CARTÕES] Listar QR CODEs gerados de um usuário","",""
"","513","Erro ao Listar Cartões Inativos","","Mon Aug 04 14:56:03 BRT 2025","passed","Mon Aug 04 14:56:03 BRT 2025","","[CARTÕES] Listar cartões de transporte","",""
